abri, axon
abris, axone
abs, axe
ado, ais
adze, ait
after, auto
ago, ays
ags, aye
aid, ani
ais, ane
ala, aga
alfa, aga
alma, agma
alow, ags
als, age
also, ages
alts, ague
alway, agar
ama, ama
amp, amp
ana, aha
and, ahi
ape, apt
apos, apse
app, app
awee, att
awes, ate
awls, age
aye, art
ays, are
azan, aah
azido, anis
azon, ash
calf, jag
call, jagg
callow, jaggs
calo, jags
cam, jam
camo, jams
caps, jape
cay, jar
creesh, jotted
crew, jot
crown, josh
dhow, ids
died, inti
differ, into
dom, ism
duffs, ice
dug, icy
dun, ich
ear, tao
eat, tau
edhs, tide
eds, tie
egis, tyne
endow, this
eng, thy
ens, the
ere, tot
erg, toy
ergo, toys
err, too
ers, toe
ess, tee
eyre, trot
fabs, axe
fade, ait
fado, ais
fags, aye
falsie, agent
fano, ahs
fauns, ache
fays, are
fazes, ate
feal, tag
fear, tao
feat, tau
feaze, tat
feazes, tate
feds, tie
fens, the
fere, tot
feres, tote
fess, tee
fete, tut
fetish, tuned
fifths, nude
fire, not
fires, note
firm, nom
firms, nome
firn, noh
flag, gay
flail, gang
flak, gab
flam, gam
flams, game
flap, gap
flaps, gape
flash, gaed
flaws, gae
flawy, gar
flay, gar
flit, gnu
foal, sag
foals, sage
foams, same
fons, she
foray, soar
forb, sox
fore, sot
forgo, soys
fork, sob
form, som
forms, some
fort, sou
forty, sour
foss, see
frae, oat
fray, oar
freer, otto
freeway, ottar
frier, onto
frizer, onto
frizzer, onto
frows, ose
fund, chi
fundi, chin
furfur, coco
furies, conte
furl, cog
furrow, coos
fury, cor
furze, cot
furzes, cote
furzier, conto
furzy, cor
fuses, cete
fuss, cee
futzes, cute
gag, yay
gal, yag
gam, yam
gan, yah
gap, yap
gawp, yap
gay, yar
gays, yare
grid, yoni
griff, yon
haes, date
hafiz, dan
hag, day
hah, dad
haha, dada
hail, dang
hajj, daff
half, dag
halo, dags
ham, dam
hamals, damage
hams, dame
hap, dap
hate, daut
hawk, dab
hays, dare
hazer, dato
hazes, date
hwan, dah
ides, nite
ire, not
ires, note
iris, none
irk, nob
iron, nosh
izzard, naoi
jab, fax
jag, fay
jail, fang
jams, fame
jay, far
jays, fare
jazzes, fate
jazzy, far
kae, bat
kaes, bate
kaif, ban
kaifs, bane
kail, bang
kaka, baba
kane, baht
kaon, bash
kauri, bacon
kay, bar
kayo, bars
kays, bare
kazoo, bass
krewe, bott
kris, bone
kyte, brut
kytes, brute
lade, gait
lag, gay
lam, gam
lama, gama
lamp, gamp
lams, game
lap, gap
laps, gape
las, gae
lash, gaed
lath, gaud
lati, gaun
laws, gae
lay, gar
layoff, gars
laze, gat
lazes, gate
lazy, gar
lift, gnu
liftoff, gnus
lit, gnu
lyre, grot
mae, mat
maes, mate
maffia, mana
mafia, mana
mafioso, manses
mag, may
mails, mange
mair, mano
mama, mama
mamma, mamma
mammas, mammae
map, map
mas, mae
mate, maut
math, maud
maun, mach
maws, mae
may, mar
maya, mara
mayo, mars
mayos, marse
mays, mare
maze, mat
mazes, mate
mazy, mar
nae, hat
naffs, hae
nag, hay
nah, had
nail, hang
nam, ham
nan, hah
nana, haha
nap, hap
nates, haute
nays, hare
oafish, saned
oafs, sae
oak, sab
oaks, sabe
oat, sau
ode, sit
odes, site
offal, sag
offals, sage
offish, sned
ons, she
opahs, spade
opts, spue
orb, sox
orca, soja
ore, sot
ort, sou
orzo, sos
ose, set
otiose, sunset
ova, ska
oval, skag
owns, she
owse, set
padi, pain
pah, pad
pail, pang
palazzi, pagan
pals, page
palsy, pager
pam, pam
pampa, pampa
pan, pah
pap, pap
papa, papa
papaw, papa
pawls, page
pawn, pah
pawpaw, papa
pay, par
payoff, pars
payoffs, parse
pays, pare
pod, psi
prefer, potto
prez, pot
prig, pony
profs, pose
prog, posy
proofs, posse
pros, pose
proso, poses
prosy, poser
prows, pose
psi, pen
pyro, pros
pyros, prose
qadi, ain
qaid, ani
quag, cay
quai, can
quais, cane
quay, car
quays, care
qursh, coed
qwerty, tour
raj, oaf
ray, oar
raze, oat
refer, otto
rezero, ottos
rho, ods
rifer, onto
riffs, one
rifs, one
rows, ose
rya, ora
rye, ort
sae, eat
safe, eat
sat, eau
say, ear
sea, eta
sen, eth
sewn, eth
show, eds
silo, engs
sri, eon
suns, eche
swat, eau
sway, ear
tea, uta
teffs, ute
tews, ute
thro, udos
throw, udos
tide, unit
tides, unite
tier, unto
toffs, use
tosh, used
tows, use
twier, unto
twos, use
typo, urps
udo, cis
unde, chit
undo, chis
unfree, chott
unsafe, cheat
unsewn, cheth
urb, cox
urp, cop
urps, cope
uses, cete
ute, cut
utes, cute
uts, cue
vas, kae
vaws, kae
vide, knit
video, knits
vireo, knots
vrow, kos
wabs, axe
wade, ait
wadi, ain
wady, air
waes, ate
waffie, ant
waffies, ante
wafter, auto
wags, aye
waifed, anti
waifs, ane
wand, ahi
waps, ape
water, auto
wawls, age
ways, are
waysides, arenite
wazoo, ass
weak, tab
weal, tag
wear, tao
weds, tie
wens, the
were, tot
wham, dam
whamo, dams
whams, dame
whap, dap
wide, nit
wides, nite
wire, not
wires, note
wiry, nor
wise, net
wiss, nee
wite, nut
wizard, naoi
wizen, nth
wizzen, nth
wons, she
wonton, shush
wore, sot
work, sob
worm, som
worms, some
wort, sou
wots, sue
wrier, onto
wuss, cee
wyte, rut
yag, ray
yah, rad
yald, ragi
yam, ram
yap, rap
yaps, rape
yawl, rag
yawls, rage
yawn, rah
yawp, rap
yawps, rape
yays, rare
zags, aye
zanza, aha
zaps, ape
zeal, tag
zeds, tie
ziti, nun
zoeae, stat
zoeal, stag
zona, sha
zonae, shat
zonal, shag
zori, son
zoril, song
zoris, sone
