abed, axe
ados, aero
aeon, arb
aglee, ain
ago, air
ahs, ado
aid, ace
aide, ace
ailed, acne
aimed, acme
ala, ana
alae, ana
alt, any
ama, ama
amaze, ama
ameer, amp
amens, ambo
ana, aba
anes, abo
anna, abba
ant, aby
ante, aby
anted, abye
anteed, abye
aped, ale
apeek, alt
aper, alp
apnea, alba
app, all
aqua, aga
aquae, aga
ardeb, apex
ares, apo
argal, apian
ark, apt
ars, apo
arse, apo
aweigh, acid
awns, abo
awoke, art
azide, ace
azon, arb
cakes, jato
cam, jam
came, jam
can, jab
cane, jab
card, jape
cared, jape
cat, jay
cate, jay
caved, jake
ceded, jee
dak, eat
dawk, eat
deaf, eau
deemed, eme
dif, ecu
dol, ern
dole, ern
doled, erne
douse, ergo
dowed, ere
dowel, ern
doweled, erne
dozed, ere
dues, ego
dyke, eft
eagle, ain
eared, ape
ears, apo
eider, cep
eidos, cero
elan, nab
eland, nabe
elate, nay
elegized, nice
emeses, moo
enate, bay
ended, bee
endive, beck
endue, beg
engs, bio
enows, bro
ensue, bog
equal, gan
equaled, gane
equate, gay
eroded, pree
eros, pro
erose, pro
erses, poo
evade, kae
eyesome, form
fehs, udo
femme, umm
feres, upo
flag, unai
flies, unco
fliest, uncoy
flossy, unroof
fogie, uric
foh, urd
fon, urb
for, urp
fore, urp
fowl, urn
frees, upo
freezes, upo
geode, ire
gid, ice
gied, ice
git, icy
gite, icy
give, ick
gleeks, into
gleys, info
glows, inro
glozes, inro
god, ire
gowd, ire
haem, dam
haemal, daman
haen, dab
haet, day
hah, dad
haha, dada
hahs, dado
haj, dah
hakes, dato
hale, dan
halid, dance
halide, dance
halve, dank
ham, dam
hamal, daman
hame, dam
haole, darn
hap, dal
hare, dap
hat, day
hate, day
have, dak
hawked, date
hawks, dato
hawkweed, date
hayey, daff
hazel, dan
hazer, dap
heal, dan
heap, dal
heaped, dale
hear, dap
heat, day
heave, dak
heeded, dee
hoard, drape
hoser, drop
hot, dry
howdah, dread
hwan, dab
isba, coxa
isle, con
isled, cone
islet, cony
itemed, cyme
izar, cap
izars, capo
izzard, cape
jade, hae
jake, hat
jam, ham
japed, hale
japes, halo
jar, hap
jawed, hae
jaws, hao
jazzed, hae
jazzer, hap
jazzes, hao
jest, hoy
kab, tax
kaes, tao
kaf, tau
kale, tan
kame, tam
kane, tab
kapa, tala
kas, tao
kava, taka
keas, tao
ketose, tyro
lad, nae
lade, nae
lam, nam
lame, nam
lamed, name
lamedh, named
land, nabe
lane, nab
lar, nap
lard, nape
laree, nap
lat, nay
late, nay
lawed, nae
lawn, nab
lazed, nae
lead, nae
leal, nan
lean, nab
leaned, nabe
lear, nap
ledgy, neif
leeward, nape
leger, nip
leses, noo
less, noo
lessee, noo
mabe, max
mad, mae
made, mae
maid, mace
maize, mac
make, mat
male, man
males, mano
malt, many
mama, mama
mamma, mamma
mammae, mamma
mammet, mammy
maned, mabe
mar, map
mare, map
mat, may
mate, may
mates, mayo
mats, mayo
matza, maya
maud, mage
mawed, mae
mazed, mae
mazer, map
mazuma, magma
mead, mae
meal, man
meals, mano
meat, may
meatal, mayan
meats, mayo
medal, mean
mesa, moa
meseemed, mome
mesh, mod
meshed, mode
mesne, mob
mess, moo
nah, bad
naive, back
naked, bate
naled, bane
nam, bam
name, bam
